;PAIS;MORTALIDADE;CALORIES_INTAKE;POBREZA
3;Albania;23,6;2864,93;8,76
10;Argentina;19,2;2965,9;23,05
11;Armenia;27,2;2150,57;46,74
20;Belarus;11,8;2968,65;2,5
26;Bolivia;72,2;2173,19;32,91
29;Brazil;27,9;2930,63;20,23
38;Cape Verde;29,5;2333,23;40,85
44;China;31,6;2926,7;51,15
47;Colombia;23,6;2628,99;32,73
52;Costa Rica;11,6;2777,99;10,86
53;Cote d'Ivoire;137,2;2464,53;46,78
60;Djibouti;96;2061,07;41,2
62;Dominican Republic;39,1;2265,35;12,95
66;El Salvador;29;2659,93;23,7
70;Estonia;9,4;3024,87;2,55
81;Georgia;31,1;2608,94;33,96
90;Guatemala;46,6;2203,05;39,56
93;Guinea-Bissau;165,3;2198,95;77,96
97;Honduras;34,2;2556,5;41,59
99;Hungary;9,9;3404,12;0,18
102;Indonesia;47,6;2506,63;66,97
109;Jamaica;20,9;2820,1;8,5
113;Kazakhstan;39;2921,92;21,53
121;Kyrgyz Republic;44,4;2471,04;66,65
122;Lao;109,2;2137,81;76,85
123;Latvia;15,1;3070;0
129;Lithuania;10,9;3342,5;1,83
132;Macedonia, FYR;14,5;2807,17;3,1
144;Mexico;22,6;3246,8;13,47
146;Moldova;25,4;2796,63;40,94
171;Pakistan;107,5;2243,35;73,91
173;Panama;24,8;2441,83;20,16
175;Paraguay;31,5;2673,69;27,97
176;Peru;33,3;2335,14;24,16
179;Poland;8,4;3421,6;0,58
184;Romania;24,9;3364,86;13,02
185;Russia;20,7;3047,37;3,67
206;Slovenia;5;3079,41;0,08
213;Sri Lanka;15,4;2363,61;39,74
224;Thailand;20,5;2468,47;13,4
232;Turkey;34,4;3430,27;9,57
236;Uganda;132,2;2315,66;79,86
237;Ukraine;16,7;3048,39;3,41
241;Uruguay;15,8;2782,66;3,43
246;Venezuela;20,4;2253,62;29,53
250;Vietnam;31,4;2541,65;68,71
